store_id,product_id,risk_assessment_date,policy,policy_label,selected_model,forecast_demand,reference_daily_demand,current_simulated_inventory,inventory_coverage_days,lead_time_days,review_period_days,shelf_life_days,replenishment_quantity,simulated_stockout_quantity,stockout_risk,excess_inventory_indicator,excess_inventory_quantity,excess_inventory_risk,estimated_spoilage_exposure,potential_spoilage_risk,demand_spike_risk,forecast_uncertainty_risk,forecast_mae_ratio,holdout_stockout_row_rate,observed_stockout_frequency,replenishment_urgency,overall_risk_score,overall_risk_level,primary_reason,contributing_factors,forecast_uncertainty_method
5,41,2024-07-02,ml_optimized,AI forecast + cost-aware replenishment,xgb_stockout_aware,1.215890884399414,0.760714,3.3,2.714059330768012,2,1,3,2.3,0.0,75.0,True,2.0841091156005858,50.0,0.9,75.0,75.0,100.0,1.201800465583801,0.14285714285714285,0.7142857142857143,75.0,75.0,Critical,Stockout risk,stockout|excess_inventory|potential_spoilage|demand_spike|forecast_uncertainty_proxy|replenishment_urgency,normalized holdout MAE proxy; no predictive interval
5,768,2024-07-02,ml_optimized,AI forecast + cost-aware replenishment,xgb_stockout_aware,0.6086559295654297,0.607143,1.0,1.6429643603636352,2,1,3,0.7,0.0,100.0,True,0.3913440704345703,25.0,0.7,100.0,0.0,75.0,0.5654451341340037,0.0,0.0,100.0,75.0,Critical,Inventory coverage below assumed lead time,stockout|excess_inventory|potential_spoilage|forecast_uncertainty_proxy|replenishment_urgency,normalized holdout MAE proxy; no predictive interval
29,509,2024-07-02,ml_optimized,AI forecast + cost-aware replenishment,xgb_stockout_aware,0.49261346459388733,0.557143,0.5,1.0149945869063937,2,1,3,1.6,0.0,100.0,True,0.007386535406112671,25.0,0.5,100.0,0.0,75.0,0.6962354462197486,0.14285714285714285,0.2857142857142857,100.0,75.0,Critical,Inventory coverage below assumed lead time,stockout|excess_inventory|potential_spoilage|forecast_uncertainty_proxy|replenishment_urgency,normalized holdout MAE proxy; no predictive interval
113,836,2024-07-02,ml_optimized,AI forecast + cost-aware replenishment,xgb_stockout_aware,0.4865584969520569,0.614286,0.8999999999999999,1.8497262007299433,2,1,3,1.3,0.0,100.0,True,0.413441503047943,25.0,0.49999999999999994,100.0,0.0,75.0,0.6438813121879802,0.14285714285714285,0.0,100.0,75.0,Critical,Inventory coverage below assumed lead time,stockout|excess_inventory|potential_spoilage|forecast_uncertainty_proxy|replenishment_urgency,normalized holdout MAE proxy; no predictive interval
356,467,2024-07-02,ml_optimized,AI forecast + cost-aware replenishment,xgb_stockout_aware,1.2749205827713013,0.685714,1.5,1.1765438728265274,2,1,3,2.3,0.0,100.0,True,0.22507941722869873,25.0,0.19999999999999996,50.0,75.0,75.0,0.5032576167738283,0.14285714285714285,0.2857142857142857,100.0,75.0,Critical,Inventory coverage below assumed lead time,stockout|excess_inventory|potential_spoilage|demand_spike|forecast_uncertainty_proxy|replenishment_urgency,normalized holdout MAE proxy; no predictive interval
70,188,2024-07-02,ml_optimized,AI forecast + cost-aware replenishment,xgb_stockout_aware,1.2084009647369385,0.592857,2.9000000000000004,2.399865677557873,2,1,3,2.4,0.0,75.0,True,1.6915990352630619,50.0,1.0000000000000002,75.0,100.0,75.0,0.5081473952386437,0.2857142857142857,0.5714285714285714,75.0,73.75,High,Stockout risk,stockout|excess_inventory|potential_spoilage|demand_spike|forecast_uncertainty_proxy|replenishment_urgency,normalized holdout MAE proxy; no predictive interval
103,41,2024-07-02,ml_optimized,AI forecast + cost-aware replenishment,xgb_stockout_aware,1.1923103332519531,0.568214,3.5,2.9354773689279074,2,1,3,0.0,0.0,75.0,True,2.307689666748047,50.0,1.5000000000000002,75.0,100.0,75.0,0.9338348925113679,0.14285714285714285,0.8571428571428571,75.0,73.75,High,Stockout risk,stockout|excess_inventory|potential_spoilage|demand_spike|forecast_uncertainty_proxy|replenishment_urgency,normalized holdout MAE proxy; no predictive interval
10,41,2024-07-02,ml_optimized,AI forecast + cost-aware replenishment,xgb_stockout_aware,0.9388692378997803,0.596429,1.2000000000000002,1.2781332602656796,2,1,3,0.9,0.0,100.0,True,0.2611307621002199,25.0,0.0,0.0,75.0,100.0,1.3082246945565004,0.0,0.8571428571428571,100.0,71.25,Critical,Inventory coverage below assumed lead time,stockout|excess_inventory|demand_spike|forecast_uncertainty_proxy|replenishment_urgency,normalized holdout MAE proxy; no predictive interval
21,37,2024-07-02,ml_optimized,AI forecast + cost-aware replenishment,xgb_stockout_aware,0.8654730319976807,1.003571,1.6,1.8487000066390142,2,1,3,0.0,0.0,100.0,True,0.7345269680023194,25.0,0.7000000000000002,75.0,0.0,75.0,0.5989384027627798,0.0,0.0,100.0,71.25,Critical,Inventory coverage below assumed lead time,stockout|excess_inventory|potential_spoilage|forecast_uncertainty_proxy|replenishment_urgency,normalized holdout MAE proxy; no predictive interval
278,802,2024-07-02,ml_optimized,AI forecast + cost-aware replenishment,xgb_stockout_aware,0.2516407370567322,0.771429,0.19999999999999996,0.7947838745795365,2,1,3,0.0,0.0,100.0,False,0.0,0.0,0.19999999999999996,100.0,0.0,75.0,0.8618056061980012,0.0,0.14285714285714285,100.0,71.25,Critical,Inventory coverage below assumed lead time,stockout|potential_spoilage|forecast_uncertainty_proxy|replenishment_urgency,normalized holdout MAE proxy; no predictive interval
532,132,2024-07-02,ml_optimized,AI forecast + cost-aware replenishment,xgb_stockout_aware,2.3252744674682617,3.292857,3.0,1.2901702753681261,2,1,3,0.0,0.0,100.0,True,0.6747255325317383,25.0,1.5,100.0,0.0,50.0,0.30638827685177883,0.0,0.0,100.0,71.25,Critical,Inventory coverage below assumed lead time,stockout|excess_inventory|potential_spoilage|forecast_uncertainty_proxy|replenishment_urgency,normalized holdout MAE proxy; no predictive interval
21,129,2024-07-02,ml_optimized,AI forecast + cost-aware replenishment,xgb_stockout_aware,0.7733673453330994,0.314286,1.9000000000000001,2.4567884996251625,2,1,3,0.0,0.0,75.0,True,1.1266326546669008,50.0,0.30000000000000004,50.0,100.0,75.0,0.9822719861299565,0.14285714285714285,0.8571428571428571,75.0,70.0,High,Stockout risk,stockout|excess_inventory|potential_spoilage|demand_spike|forecast_uncertainty_proxy|replenishment_urgency,normalized holdout MAE proxy; no predictive interval
85,44,2024-07-02,ml_optimized,AI forecast + cost-aware replenishment,xgb_stockout_aware,0.5375276207923889,0.192857,0.0,0.0,2,1,3,0.0,0.0,100.0,False,0.0,0.0,0.0,0.0,100.0,100.0,1.1544056785734076,0.5714285714285714,0.8571428571428571,100.0,70.0,Critical,Inventory coverage below assumed lead time,stockout|demand_spike|forecast_uncertainty_proxy|replenishment_urgency,normalized holdout MAE proxy; no predictive interval
110,605,2024-07-02,ml_optimized,AI forecast + cost-aware replenishment,xgb_stockout_aware,0.6669970750808716,0.492857,1.5,2.2488854239999916,2,1,3,0.0,0.0,75.0,True,0.8330029249191284,50.0,0.5,75.0,50.0,75.0,0.5289212489614681,0.2857142857142857,0.7142857142857143,75.0,68.75,High,Stockout risk,stockout|excess_inventory|potential_spoilage|demand_spike|forecast_uncertainty_proxy|replenishment_urgency,normalized holdout MAE proxy; no predictive interval
247,650,2024-07-02,ml_optimized,AI forecast + cost-aware replenishment,xgb_stockout_aware,0.7469518184661865,0.55,1.7000000000000002,2.2759165423692678,2,1,3,1.1,0.0,75.0,True,0.9530481815338137,50.0,0.7000000000000002,75.0,50.0,75.0,0.7956540809487397,0.14285714285714285,0.5714285714285714,75.0,68.75,High,Stockout risk,stockout|excess_inventory|potential_spoilage|demand_spike|forecast_uncertainty_proxy|replenishment_urgency,normalized holdout MAE proxy; no predictive interval
250,768,2024-07-02,ml_optimized,AI forecast + cost-aware replenishment,xgb_stockout_aware,0.644311785697937,0.482143,1.6999999999999997,2.6384741638064417,2,1,3,1.8,0.0,75.0,True,1.0556882143020627,50.0,0.9999999999999999,100.0,50.0,50.0,0.49102322288921896,0.14285714285714285,0.0,75.0,68.75,High,Stockout risk,stockout|excess_inventory|potential_spoilage|demand_spike|forecast_uncertainty_proxy|replenishment_urgency,normalized holdout MAE proxy; no predictive interval
897,328,2024-07-02,ml_optimized,AI forecast + cost-aware replenishment,xgb_stockout_aware,0.4198743999004364,0.321429,0.8,1.9053316901190016,2,1,3,0.6,0.0,100.0,True,0.38012560009956364,25.0,0.10000000000000009,50.0,50.0,50.0,0.49561238288879383,0.14285714285714285,0.2857142857142857,100.0,68.75,Critical,Inventory coverage below assumed lead time,stockout|excess_inventory|potential_spoilage|demand_spike|forecast_uncertainty_proxy|replenishment_urgency,normalized holdout MAE proxy; no predictive interval
0,253,2024-07-02,ml_optimized,AI forecast + cost-aware replenishment,xgb_stockout_aware,0.4799961447715759,0.496429,1.1,2.2916850728529834,2,1,3,0.8,0.0,75.0,True,0.6200038552284242,50.0,0.3,75.0,0.0,100.0,1.9907496889432272,0.14285714285714285,0.8571428571428571,75.0,67.5,High,Stockout risk,stockout|excess_inventory|potential_spoilage|forecast_uncertainty_proxy|replenishment_urgency,normalized holdout MAE proxy; no predictive interval
1,768,2024-07-02,ml_optimized,AI forecast + cost-aware replenishment,xgb_stockout_aware,1.1467993259429932,0.721429,1.2999999999999998,1.1335897838368822,2,1,3,1.6,0.0,100.0,True,0.15320067405700666,25.0,0.0,0.0,75.0,75.0,0.5226546730480942,0.2857142857142857,0.14285714285714285,100.0,67.5,Critical,Inventory coverage below assumed lead time,stockout|excess_inventory|demand_spike|forecast_uncertainty_proxy|replenishment_urgency,normalized holdout MAE proxy; no predictive interval
3,77,2024-07-02,ml_optimized,AI forecast + cost-aware replenishment,xgb_stockout_aware,0.5004868507385254,0.657143,0.8999999999999999,1.7982490422514543,2,1,3,0.0,0.0,100.0,True,0.3995131492614745,25.0,0.19999999999999996,50.0,0.0,75.0,0.6905385085514614,0.0,0.8571428571428571,100.0,67.5,Critical,Inventory coverage below assumed lead time,stockout|excess_inventory|potential_spoilage|forecast_uncertainty_proxy|replenishment_urgency,normalized holdout MAE proxy; no predictive interval
