policy,policy_label,records,keys,simulation_start,simulation_end,stockout_quantity,stockout_frequency,service_level_proxy,service_level_target,ending_inventory,average_ending_inventory,excess_inventory,estimated_spoilage,potential_spoilage,replenishment_quantity,order_count,holding_cost,stockout_lost_sales_cost,spoilage_cost,ordering_cost,total_inventory_related_cost,observed_stockout_frequency,realized_service_level_target_met,scenario_name,forecast_path_demand_quantity,forecast_path_stockout_quantity,forecast_path_service_level,realized_holdout_service_level,realized_holdout_is_censored_proxy,forecast_risk_multiplier,sensitivity_type,sensitivity_value
ml_optimized,AI forecast + cost-aware replenishment,6664,952,2024-06-26,2024-07-02,1467.61329,0.32968187274909966,0.7976059787060691,0.95,4315.882691999999,0.6476414603841536,2526.9364150945075,205.78430199999997,259.05573000000004,5961.5,4722,86.31765383999999,2201.419935,205.78430199999997,23610.0,26103.521890840002,0.3445378151260504,False,risk_multiplier_0.5,21370.819251944544,1016.1167000752058,0.9524530768757146,0.7976059787060691,True,0.5,forecast_risk_multiplier,
ml_optimized,AI forecast + cost-aware replenishment,6664,952,2024-06-26,2024-07-02,666.262363,0.1631152460984394,0.9081178129121693,0.95,9626.169546000001,1.4445032331932774,5603.344797506699,455.785732,575.34716,8525.8,4749,192.52339092,999.3935445,455.785732,23745.0,25392.702667420002,0.3445378151260504,False,risk_multiplier_0.75,32056.228877916816,973.8910403598445,0.9696192885298885,0.9081178129121693,True,0.75,forecast_risk_multiplier,
ml_optimized,AI forecast + cost-aware replenishment,6664,952,2024-06-26,2024-07-02,594.944431,0.14285714285714285,0.9179530489012404,0.95,15125.482188999998,2.269730220438175,9445.883147465109,1183.1305109999998,1406.139798,10809.7,4492,302.50964378000003,892.4166465000001,1183.1305109999998,22460.0,24838.05680128,0.3445378151260504,False,risk_multiplier_1,42741.63850388909,2061.556081840403,0.9517670320090134,0.9179530489012404,True,1.0,forecast_risk_multiplier,
ml_optimized,AI forecast + cost-aware replenishment,6664,952,2024-06-26,2024-07-02,700.0365730000001,0.18097238895558224,0.9034601158031947,0.95,19928.263038,2.990435629951981,12917.54897597996,2195.822585,2543.0625849999997,13114.900000000001,4162,398.56526076000006,1050.0548595,2195.822585,20810.0,24454.44270526,0.3445378151260504,False,risk_multiplier_1.25,53427.04812986136,4013.8852410857153,0.9248716636687573,0.9034601158031947,True,1.25,forecast_risk_multiplier,
ml_optimized,AI forecast + cost-aware replenishment,6664,952,2024-06-26,2024-07-02,664.3265739999999,0.1802220888355342,0.9083847716013255,0.95,25069.0749,3.761865981392557,16702.54648357523,3401.807585,3861.1618710000002,15895.6,4189,501.38149799999997,996.489861,3401.807585,20945.0,25844.678944,0.3445378151260504,False,risk_multiplier_1.5,64112.45775583363,4667.344315178563,0.9272006646047838,0.9083847716013255,True,1.5,forecast_risk_multiplier,
ml_optimized,AI forecast + cost-aware replenishment,6664,952,2024-06-26,2024-07-02,462.098007,0.1293517406962785,0.9362734894090248,0.95,36069.596343,5.412604493247299,24796.1682808598,6183.311874999999,6854.711875,22029.100000000002,4616,721.39192686,693.1470105,6183.311874999999,23080.0,30677.850812359997,0.3445378151260504,False,risk_multiplier_2,85483.27700777818,4074.5662432829267,0.9523349316274787,0.9362734894090248,True,2.0,forecast_risk_multiplier,
ml_optimized,AI forecast + cost-aware replenishment,6664,952,2024-06-26,2024-07-02,296.35229,0.0778811524609844,0.9591309699213986,0.95,57416.637763000006,8.615942041266507,40638.90552813251,11991.656158,13056.486158,33940.2,5026,1148.33275526,444.528435,11991.656158,25130.0,38714.51734826,0.3445378151260504,True,risk_multiplier_3,128224.91551166726,4455.2624434015925,0.9652543156248272,0.9591309699213986,True,3.0,forecast_risk_multiplier,
ml_optimized,AI forecast + cost-aware replenishment,6664,952,2024-06-26,2024-07-02,285.18228999999997,0.07322929171668667,0.9606713901623827,0.95,78167.417763,11.729804586284514,56227.917605324976,17682.986158,19135.006158,45558.100000000006,5056,1563.34835526,427.773435,17682.986158,25280.0,44954.10794826,0.3445378151260504,True,risk_multiplier_4,170966.55401555635,6284.575136843559,0.9632409088840165,0.9606713901623827,True,4.0,forecast_risk_multiplier,
ml_optimized,AI forecast + cost-aware replenishment,6664,952,2024-06-26,2024-07-02,281.58229000000006,0.0702280912364946,0.9611678550565225,0.95,119560.114906,17.941193713385356,87458.35920904795,29038.846158,31267.316158,68740.0,5062,2391.20229812,422.373435,29038.846158,25310.0,57162.42189112,0.3445378151260504,True,risk_multiplier_6,256449.83102333453,10228.729848572353,0.9601141096184165,0.9611678550565225,True,6.0,forecast_risk_multiplier,
ml_optimized,AI forecast + cost-aware replenishment,6664,952,2024-06-26,2024-07-02,285.88229,0.07097839135654262,0.9605748553218554,0.95,160959.614906,24.15360367737095,118722.81000344653,40398.946158000006,43396.716157999996,91902.79999999999,5047,3219.19229812,428.823435,40398.946158000006,25235.0,69281.96189112001,0.3445378151260504,True,risk_multiplier_8,341933.1080311127,14250.919491839348,0.9583224930340977,0.9605748553218554,True,8.0,forecast_risk_multiplier,
